keyword,volume,cpc,competition,cluster,intent
"נדל""ן בקפריסין",320,6.7,MEDIUM,hub-cyprus,commercial
נדלן בקפריסין,320,6.7,MEDIUM,hub-cyprus (Variante),commercial
נדל ן בקפריסין,320,6.7,MEDIUM,hub-cyprus (Variante),commercial
וילות בקפריסין,320,0.8,MEDIUM,villas-cyprus,mixed (Urlaub/Kauf)
וילה בקפריסין,320,0.8,MEDIUM,villas-cyprus,mixed (Urlaub/Kauf)
דירות בקפריסין יד 2,260,2.27,MEDIUM,brand/portal-navigational,navigational
דירה בקפריסין,260,3.56,MEDIUM,hub-cyprus,commercial
דירות בקפריסין,260,3.56,MEDIUM,hub-cyprus,commercial
גינדי לימסול,260,,LOW,brand/portal-navigational,navigational
השקעות נדלן בחול,260,19.55,MEDIUM,overseas-generic (Blog),informational
נדלן ביוון,260,3.79,MEDIUM,greece (out of scope),commercial
וילות ביוון,260,0.83,MEDIUM,greece (out of scope),mixed (Urlaub/Kauf)
וילות בלימסול,210,1.02,MEDIUM,limassol-villas (NICHT bauen),mixed (Urlaub/Kauf)
רילוקיישן לקפריסין,170,2.72,LOW,relocation,informational
וילות בפאפוס,170,1.06,MEDIUM,paphos-villas,mixed (Urlaub/Kauf)
וילה בפאפוס,170,1.06,MEDIUM,paphos-villas,mixed (Urlaub/Kauf)
נדל ן בחול,170,19.65,MEDIUM,overseas-generic (Blog),informational
בתים למכירה ביוון ליד הים,170,1.55,MEDIUM,greece (out of scope),commercial
דירות למכירה בקפריסין,140,2.69,MEDIUM,hub-cyprus,commercial
"השקעות נדל""ן בקפריסין",140,5.69,MEDIUM,investment,commercial
השקעות נדלן בקפריסין,140,5.69,MEDIUM,investment (Variante),commercial
דירה להשקעה בקפריסין,140,4,HIGH,investment,commercial
דירות להשקעה בקפריסין,140,4,HIGH,investment,commercial
דירות ביוון,140,2.52,MEDIUM,greece (out of scope),commercial
דירות למכירה ביוון יד 2,140,2.55,MEDIUM,greece (out of scope),navigational
השקעה בקפריסין,110,6.72,HIGH,investment,commercial
השקעות בקפריסין,110,6.72,HIGH,investment,commercial
דירות בלימסול,110,2.66,HIGH,limassol-apartments,commercial
דירה בלימסול,110,2.66,HIGH,limassol-apartments,commercial
דירות בקפריסין מחירים,110,2.74,MEDIUM,prices,commercial
וילה למכירה בקפריסין על הים,110,2.35,MEDIUM,villas-cyprus (seafront),commercial
וילות בלרנקה,110,0.84,MEDIUM,larnaca (NICHT bauen),mixed (Urlaub/Kauf)
וילה בקפריסין למכירה,90,1.86,MEDIUM,villas-cyprus,commercial
דירות בפאפוס,90,1.5,MEDIUM,paphos-apartments,commercial
דירה בפאפוס,90,1.5,MEDIUM,paphos-apartments,commercial
דירות בלרנקה,90,2.62,MEDIUM,larnaca (NICHT bauen),commercial
ישראלים בקפריסין,90,,LOW,relocation,informational
מרינה לימסול,90,8.55,LOW,limassol-marina (Sektion im Hub),mixed (Tourismus/Kauf)
